PRED,IMAGE,CONF
ALTIN,011016_1701102600621F02_191,933
2DEL44,090107_1701105783281F04_691,927
2RXC25,090006_1701101132832F03_081,945
1LLS66,090112_1701111831405F03_361,914
2NSL63,090107_1701099265130R03_771,937
4LTS44,090010_1701112168540R02_541,914
127N,090109_1701099519957R02_791,929
3GBW76,090112_1701100260975F04_161,929
5BAK41,090111_1701112316072F03_971,922
392HM8,001315_1701105801900F03_284,908
W89484,090109_1701120283707R04_671,920
V21428,090008_1701117195406F02_571,934
035N0R,090105_1701106906826F02_431,760
5PX355,001315_1701109212533F02_301,883
D12SSE,090010_1701116830939R04_961,939
C362650,090006_1701095744312F04_561,925
883LT7,090014_1701118316711F04_041,923
7NG519,090110_1701111738124R02_071,945
2KTV99,090005_1701117014102F03_481,924
KEJ3598,001215_1701096818003F03_761,919
3RWT33,090102_1701109689175R03_381,941
BA12282,090105_1701104586762R02_211,923
6DA683,090006_1701110092681R04_521,909
4ABH84,090003_1701113771293R02_911,937
CXRK576,090003_1701111997063F02_261,929
2WHA16,090011_1701099755184F03_191,918
3SPG45,001115_1701101730457F05_305,924
75DEEX,090014_1701121996099R04_511,928
5AY619,090007_1701092591815R04_041,893
2KXP83,090111_1701120183193F04_351,931
C240955,090009_1701100528594F03_311,929
P1037460,090007_1701091610919F03_301,865
4PLS78,001315_1701103014180F03_343,906
5784B,090010_1701093723426F02_191,905
19JY,090106_1701115725995R02_231,938
X22,090109_1701118600911R05_441,829
1GJK29,090107_1701104877259R03_331,944
5JM678,090314_1701102119555R02_411,922
1ZFE23,001015_1701119551986R05_421,926
2ARF92,090113_1701110379294F02_191,934
9RN278,090012_1701093043041R02_451,933
716PP8,090109_1701118380461R02_671,934
1LL818,090102_1701116291943R02_021,930
3160454,090113_1701097888324R02_811,909
C290854,090012_1701107655375R04_321,919
7EGX60,090111_1701110685171R03_361,940
5SAA29,090010_1701103025240F02_871,942
BF08752,090006_1701090352961R02_091,918
LEACH,090010_1701116803432R04_821,902
RE200,090003_1701113754416F03_421,924
2FLH45,090009_1701115907254R04_491,920
4WVM54,090006_1701102121806R02_381,939
3ERG76,090112_1701096296835F03_261,932
4CPA95,011116_1701120125298R02_991,931
3EGX93,090314_1701114388047F02_141,933
1AJ474,090107_1701097588045R04_101,930
3XFC73,090004_1701115863136F02_861,937
695SBW,090108_1701115402664R04_411,917
2HAC18,090109_1701104504194R04_231,934
4DBX76,090106_1701114021140R03_281,915
1SXM23,090010_1701097635570F03_521,927
X14430,090314_1701122177203R01_131,936
5MGB29,090107_1701095406140F04_731,940
2FZN89,090113_1701106788426R01_291,935
HDPE11,090014_1701118657648F06_601,917
2ZWS11,090013_1701097481310R04_991,923
4VRR41,090108_1701119826287F03_991,944
V84738,090109_1701097134999R02_181,894
S57,090013_1701091044881F04_821,915
3AGR94,001215_1701106142774F03_231,929
2JFK97,090110_1701116121847F04_921,936
K74747,090214_1701112707909F02_141,933
2XHD86,011016_1701118825685R02_791,937
EVM833,090113_1701104238805R03_121,905
9644DC,090009_1701121494710R05_021,921
JGG5283,090105_1701095104828F01_061,932
EV73MN,090111_1701095967410R04_371,910
BK13948,090010_1701098019755R03_101,916
AZ54531,090113_1701120026852R02_611,925
1NRC66,090107_1701100436279F04_281,919
KFB2110,011116_1701115879350R02_901,920
3BWW83,090314_1701117453028F02_021,935
3WPF83,001115_1701096668503R04_194,901
2624590,090106_1701119142906F02_351,869
MKXMDQ827,001115_1701109285680R04_486,309
2DGS54,090012_1701120066298F03_411,937
2ZCA68,090011_1701103105256R03_431,926
2RPX28,090106_1701111782302R03_091,936
4JER75,090106_1701120312053R03_851,936
